Institute Name,Academic Program,Quota,Seat Type,Gender,Opening Rank,Closing Rank
"Indian Institute of
Technology Delhi","Biotechnology and
Biochemical Engineering
(4 Years, Bachelor of
Technology)",AI,OPEN,Gender-Neutral,3677,4849
"Indian Institute of
Technology Delhi","Biotechnology and
Biochemical Engineering
(4 Years, Bachelor of
Technology)",AI,OPEN,"Female-only
(including
Supernumerary)",8216,9733
"Indian Institute of
Technology Delhi","Chemical Engineering (4
Years, Bachelor of
Technology)",AI,OPEN,Gender-Neutral,1689,2221
"Indian Institute of
Technology Delhi","Chemical Engineering (4
Years, Bachelor of
Technology)",AI,OPEN,"Female-only
(including
Supernumerary)",3550,5060
"Indian Institute of
Technology Delhi","Chemical Engineering (5
Years, Bachelor and
Master of Technology
(Dual Degree))",AI,OPEN,Gender-Neutral,2629,3646
"Indian Institute of
Technology Delhi","Chemical Engineering (5
Years, Bachelor and
Master of Technology
(Dual Degree))",AI,OPEN,"Female-only
(including
Supernumerary)",6656,6847
"Indian Institute of
Technology Delhi","Engineering and
Computational
Mechanics (4 Years,
Bachelor of Technology)",AI,OPEN,Gender-Neutral,890,1194
"Indian Institute of
Technology Delhi","Engineering and
Computational
Mechanics (4 Years,
Bachelor of Technology)",AI,OPEN,"Female-only
(including
Supernumerary)",2128,3381
"Indian Institute of
Technology Delhi","Engineering Physics (4
Years, Bachelor of
Technology)",AI,OPEN,Gender-Neutral,1845,2560
"Indian Institute of
Technology Delhi","Engineering Physics (4
Years, Bachelor of
Technology)",AI,OPEN,"Female-only
(including
Supernumerary)",4087,7030
"Indian Institute of
Technology Delhi","Materials Engineering (4
Years, Bachelor of
Technology)",AI,OPEN,Gender-Neutral,2422,3797
"Indian Institute of
Technology Delhi","Materials Engineering (4
Years, Bachelor of
Technology)",AI,OPEN,"Female-only
(including
Supernumerary)",8280,9743
"Indian Institute of
Technology Delhi","Mathematics and
Computing (4 Years,
Bachelor of Technology)",AI,OPEN,Gender-Neutral,118,332
"Indian Institute of
Technology Delhi","Mathematics and
Computing (4 Years,
Bachelor of Technology)",AI,OPEN,"Female-only
(including
Supernumerary)",824,1240
"Indian Institute of
Technology Delhi","Mathematics and
Computing (5 Years,
Bachelor and Master of
Technology (Dual
Degree))",AI,OPEN,Gender-Neutral,339,417
"Indian Institute of
Technology Delhi","Mathematics and
Computing (5 Years,
Bachelor and Master of
Technology (Dual
Degree))",AI,OPEN,"Female-only
(including
Supernumerary)",1433,1644
"Indian Institute of
Technology Delhi","Mechanical Engineering
(4 Years, Bachelor of
Technology)",AI,OPEN,Gender-Neutral,1225,1782
"Indian Institute of
Technology Indore","Engineering Physics (4
Years, Bachelor of
Technology)",AI,OPEN,Gender-Neutral,5765,7612
"Indian Institute of
Technology Indore","Engineering Physics (4
Years, Bachelor of
Technology)",AI,OPEN,"Female-only
(including
Supernumerary)",13790,15115
"Indian Institute of
Technology Indore","Mathematics and
Computing (4 Years,
Bachelor of Technology)",AI,OPEN,Gender-Neutral,1591,2180
"Indian Institute of
Technology Indore","Mathematics and
Computing (4 Years,
Bachelor of Technology)",AI,OPEN,"Female-only
(including
Supernumerary)",4905,5064
"Indian Institute of
Technology Indore","Mechanical Engineering
(4 Years, Bachelor of
Technology)",AI,OPEN,Gender-Neutral,4946,6812
"Indian Institute of
Technology Indore","Mechanical Engineering
(4 Years, Bachelor of
Technology)",AI,OPEN,"Female-only
(including
Supernumerary)",12137,14123
"Indian Institute of
Technology Indore","Metallurgical
Engineering and
Materials Science (4
Years, Bachelor of
Technology)",AI,OPEN,Gender-Neutral,8299,10894
"Indian Institute of
Technology Indore","Metallurgical
Engineering and
Materials Science (4
Years, Bachelor of
Technology)",AI,OPEN,"Female-only
(including
Supernumerary)",18413,19770
"Indian Institute of
Technology Indore","Space Sciences and
Engineering (4 Years,
Bachelor of Technology)",AI,OPEN,Gender-Neutral,5666,6640
"Indian Institute of
Technology Indore","Space Sciences and
Engineering (4 Years,
Bachelor of Technology)",AI,OPEN,"Female-only
(including
Supernumerary)",10683,10970
"Indian Institute of
Technology
Kharagpur","Aerospace Engineering
(4 Years, Bachelor of
Technology)",AI,OPEN,Gender-Neutral,2716,4745
"Indian Institute of
Technology
Kharagpur","Aerospace Engineering
(4 Years, Bachelor of
Technology)",AI,OPEN,"Female-only
(including
Supernumerary)",10505,11444
"Indian Institute of
Technology
Kharagpur","Chemistry (4 Years,
Bachelor of Science)",AI,OPEN,"Female-only
(including
Supernumerary)",18426,19077
"Indian Institute of
Technology
Kharagpur","Civil Engineering (4
Years, Bachelor of
Technology)",AI,OPEN,Gender-Neutral,4902,6992
"Indian Institute of
Technology
Kharagpur","Civil Engineering (4
Years, Bachelor of
Technology)",AI,OPEN,"Female-only
(including
Supernumerary)",12769,15388
"Indian Institute of
Technology
Kharagpur","Computer Science and
Engineering (4 Years,
Bachelor of Technology)",AI,OPEN,Gender-Neutral,226,415
"Indian Institute of
Technology
Kharagpur","Computer Science and
Engineering (4 Years,
Bachelor of Technology)",AI,OPEN,"Female-only
(including
Supernumerary)",1172,1661
"Indian Institute of
Technology
Kharagpur","Economics (4 Years,
Bachelor of Science)",AI,OPEN,Gender-Neutral,3176,5263
"Indian Institute of
Technology
Kharagpur","Economics (4 Years,
Bachelor of Science)",AI,OPEN,"Female-only
(including
Supernumerary)",6763,10746
"Indian Institute of
Technology
Kharagpur","Electrical Engineering (4
Years, Bachelor of
Technology)",AI,OPEN,Gender-Neutral,1460,2016
"Indian Institute of
Technology
Kharagpur","Electrical Engineering (4
Years, Bachelor of
Technology)",AI,OPEN,"Female-only
(including
Supernumerary)",4312,5599
"Indian Institute of
Technology
Kharagpur","Electronics and
Electrical
Communication
Engineering (4 Years,
Bachelor of Technology)",AI,OPEN,Gender-Neutral,516,1448
"Indian Institute of
Technology
Kharagpur","Electronics and
Electrical
Communication
Engineering (4 Years,
Bachelor of Technology)",AI,OPEN,"Female-only
(including
Supernumerary)",1815,3816
"Indian Institute of
Technology
Kharagpur","Exploration Geophysics
(4 Years, Bachelor of
Science)",AI,OPEN,Gender-Neutral,9996,12413
"Indian Institute of
Technology
Kharagpur","Mining Engineering (4
Years, Bachelor of
Technology)",AI,OPEN,Gender-Neutral,7431,10218
"Indian Institute of
Technology
Kharagpur","Mining Engineering (4
Years, Bachelor of
Technology)",AI,OPEN,"Female-only
(including
Supernumerary)",16126,19143
"Indian Institute of
Technology
Kharagpur","Ocean Engineering and
Naval Architecture (4
Years, Bachelor of
Technology)",AI,OPEN,Gender-Neutral,7876,9098
"Indian Institute of
Technology
Kharagpur","Ocean Engineering and
Naval Architecture (4
Years, Bachelor of
Technology)",AI,OPEN,"Female-only
(including
Supernumerary)",16598,17790
"Indian Institute of
Technology
Kharagpur","Physics (4 Years,
Bachelor of Science)",AI,OPEN,Gender-Neutral,2957,9672
"Indian Institute of
Technology
Kharagpur","Physics (4 Years,
Bachelor of Science)",AI,OPEN,"Female-only
(including
Supernumerary)",14639,17600
"Indian Institute of
Technology
Hyderabad","Artificial Intelligence (4
Years, Bachelor of
Technology)",AI,OPEN,Gender-Neutral,685,875
"Indian Institute of
Technology
Hyderabad","Artificial Intelligence (4
Years, Bachelor of
Technology)",AI,OPEN,"Female-only
(including
Supernumerary)",2214,2840
"Indian Institute of
Technology
Hyderabad","Biomedical Engineering
(4 Years, Bachelor of
Technology)",AI,OPEN,Gender-Neutral,6579,8493
"Indian Institute of
Technology
Hyderabad","Biomedical Engineering
(4 Years, Bachelor of
Technology)",AI,OPEN,"Female-only
(including
Supernumerary)",15656,15954
"Indian Institute of
Technology
Hyderabad","Biotechnology and
Bioinformatics (4 Years,
Bachelor of Technology)",AI,OPEN,Gender-Neutral,6015,8524
"Indian Institute of
Technology
Hyderabad","Biotechnology and
Bioinformatics (4 Years,
Bachelor of Technology)",AI,OPEN,"Female-only
(including
Supernumerary)",14833,15214
"Indian Institute of
Technology Jodhpur","Bio Engineering (4
Years, Bachelor of
Technology)",AI,OPEN,Gender-Neutral,12293,14666
"Indian Institute of
Technology Jodhpur","Bio Engineering (4
Years, Bachelor of
Technology)",AI,OPEN,"Female-only
(including
Supernumerary)",18682,20850
"Indian Institute of
Technology Jodhpur","Chemical Engineering (4
Years, Bachelor of
Technology)",AI,OPEN,Gender-Neutral,8295,11036
"Indian Institute of
Technology Jodhpur","Chemical Engineering (4
Years, Bachelor of
Technology)",AI,OPEN,"Female-only
(including
Supernumerary)",15996,19661
"Indian Institute of
Technology Jodhpur","Chemistry with
Specialization (4 Years,
Bachelor of Science)",AI,OPEN,Gender-Neutral,12654,16381
"Indian Institute of
Technology Jodhpur","Chemistry with
Specialization (4 Years,
Bachelor of Science)",AI,OPEN,"Female-only
(including
Supernumerary)",22452,23748
"Indian Institute of
Technology Jodhpur","Civil and Infrastructure
Engineering (4 Years,
Bachelor of Technology)",AI,OPEN,Gender-Neutral,11244,13316
"Indian Institute of
Technology Jodhpur","Civil and Infrastructure
Engineering (4 Years,
Bachelor of Technology)",AI,OPEN,"Female-only
(including
Supernumerary)",19028,21003
"Indian Institute of
Technology Jodhpur","Computer Science and
Engineering (4 Years,
Bachelor of Technology)",AI,OPEN,Gender-Neutral,2062,3061
"Indian Institute of
Technology Jodhpur","Computer Science and
Engineering (4 Years,
Bachelor of Technology)",AI,OPEN,"Female-only
(including
Supernumerary)",5655,7457
"Indian Institute of
Technology Jodhpur","Electrical Engineering (4
Years, Bachelor of
Technology)",AI,OPEN,Gender-Neutral,4693,6346
"Indian Institute of
Technology Jodhpur","Electrical Engineering (4
Years, Bachelor of
Technology)",AI,OPEN,"Female-only
(including
Supernumerary)",9003,11925
"Indian Institute of
Technology Jodhpur","Materials Engineering (4
Years, Bachelor of
Technology)",AI,OPEN,Gender-Neutral,11381,13339
"Indian Institute of
Technology Kanpur","Civil Engineering (4
Years, Bachelor of
Technology)",AI,OPEN,"Female-only
(including
Supernumerary)",4232,13819
"Indian Institute of
Technology Kanpur","Computer Science and
Engineering (4 Years,
Bachelor of Technology)",AI,OPEN,Gender-Neutral,120,252
"Indian Institute of
Technology Kanpur","Computer Science and
Engineering (4 Years,
Bachelor of Technology)",AI,OPEN,"Female-only
(including
Supernumerary)",781,1117
"Indian Institute of
Technology Kanpur","Earth Sciences (4 Years,
Bachelor of Science)",AI,OPEN,Gender-Neutral,7210,10058
"Indian Institute of
Technology Kanpur","Earth Sciences (4 Years,
Bachelor of Science)",AI,OPEN,"Female-only
(including
Supernumerary)",16346,17618
"Indian Institute of
Technology Kanpur","Economics (4 Years,
Bachelor of Science)",AI,OPEN,Gender-Neutral,2137,3106
"Indian Institute of
Technology Kanpur","Economics (4 Years,
Bachelor of Science)",AI,OPEN,"Female-only
(including
Supernumerary)",5790,6326
"Indian Institute of
Technology Kanpur","Electrical Engineering (4
Years, Bachelor of
Technology)",AI,OPEN,Gender-Neutral,743,1290
"Indian Institute of
Technology Kanpur","Electrical Engineering (4
Years, Bachelor of
Technology)",AI,OPEN,"Female-only
(including
Supernumerary)",2616,3166
"Indian Institute of
Technology Kanpur","Materials Science and
Engineering (4 Years,
Bachelor of Technology)",AI,OPEN,Gender-Neutral,4831,6008
"Indian Institute of
Technology Kanpur","Materials Science and
Engineering (4 Years,
Bachelor of Technology)",AI,OPEN,"Female-only
(including
Supernumerary)",11438,13464
"Indian Institute of
Technology Kanpur","Mathematics and
Scientific Computing (4
Years, Bachelor of
Science)",AI,OPEN,Gender-Neutral,756,990
"Indian Institute of
Technology Kanpur","Mathematics and
Scientific Computing (4
Years, Bachelor of
Science)",AI,OPEN,"Female-only
(including
Supernumerary)",2288,3445
"Indian Institute of
Technology Kanpur","Mechanical Engineering
(4 Years, Bachelor of
Technology)",AI,OPEN,Gender-Neutral,1889,2776
"Indian Institute of
Technology Kanpur","Mechanical Engineering
(4 Years, Bachelor of
Technology)",AI,OPEN,"Female-only
(including
Supernumerary)",6470,8298
"Indian Institute of
Technology Kanpur","Physics (4 Years,
Bachelor of Science)",AI,OPEN,Gender-Neutral,3377,5508
"Indian Institute of
Technology Kanpur","Physics (4 Years,
Bachelor of Science)",AI,OPEN,"Female-only
(including
Supernumerary)",7470,16084
"Indian Institute of
Technology Kanpur","Statistics and Data
Science (4 Years,
Bachelor of Science)",AI,OPEN,Gender-Neutral,699,1030
"Indian Institute of
Technology Kanpur","Statistics and Data
Science (4 Years,
Bachelor of Science)",AI,OPEN,"Female-only
(including
Supernumerary)",1938,3674
"Indian Institute of
Technology Madras","Aerospace Engineering
(4 Years, Bachelor of
Technology)",AI,OPEN,Gender-Neutral,1469,2815
"Indian Institute of
Technology Madras","Aerospace Engineering
(4 Years, Bachelor of
Technology)",AI,OPEN,"Female-only
(including
Supernumerary)",5475,6845
"Indian Institute of
Technology Madras","Aerospace Engineering
(5 Years, Bachelor and
Master of Technology
(Dual Degree))",AI,OPEN,Gender-Neutral,2199,2984
"Indian Institute of
Technology Madras","Aerospace Engineering
(5 Years, Bachelor and
Master of Technology
(Dual Degree))",AI,OPEN,"Female-only
(including
Supernumerary)",2184,2184
"Indian Institute of
Technology Madras","Artificial Intelligence and
Data Analytics (4 Years,
Bachelor of Technology)",AI,OPEN,Gender-Neutral,132,419
"Indian Institute of
Technology Madras","Artificial Intelligence and
Data Analytics (4 Years,
Bachelor of Technology)",AI,OPEN,"Female-only
(including
Supernumerary)",1079,1379
"Indian Institute of
Technology Madras","Biological Engineering (4
Years, Bachelor of
Technology)",AI,OPEN,Gender-Neutral,3135,5755
"Indian Institute of
Technology
Gandhinagar","Integrated Circuit
Design & Technology (4
Years, Bachelor of
Technology)",AI,OPEN,Gender-Neutral,2458,4349
"Indian Institute of
Technology
Gandhinagar","Integrated Circuit
Design & Technology (4
Years, Bachelor of
Technology)",AI,OPEN,"Female-only
(including
Supernumerary)",7247,7281
"Indian Institute of
Technology
Gandhinagar","Materials Engineering (4
Years, Bachelor of
Technology)",AI,OPEN,Gender-Neutral,8632,11298
"Indian Institute of
Technology
Gandhinagar","Materials Engineering (4
Years, Bachelor of
Technology)",AI,OPEN,"Female-only
(including
Supernumerary)",16409,17233
"Indian Institute of
Technology
Gandhinagar","Mechanical Engineering
(4 Years, Bachelor of
Technology)",AI,OPEN,Gender-Neutral,4859,6344
"Indian Institute of
Technology
Gandhinagar","Mechanical Engineering
(4 Years, Bachelor of
Technology)",AI,OPEN,"Female-only
(including
Supernumerary)",10210,13488
"Indian Institute of
Technology
Gandhinagar","Mechanical Engineering
(5 Years, Bachelor and
Master of Technology
(Dual Degree))",AI,OPEN,Gender-Neutral,6581,7422
"Indian Institute of
Technology
Gandhinagar","Mechanical Engineering
(5 Years, Bachelor and
Master of Technology
(Dual Degree))",AI,OPEN,"Female-only
(including
Supernumerary)",13636,14114
"Indian Institute of
Technology Patna","Artificial Intelligence and
Data Science (4 Years,
Bachelor of Technology)",AI,OPEN,Gender-Neutral,3557,4346
"Indian Institute of
Technology Patna","Artificial Intelligence and
Data Science (4 Years,
Bachelor of Technology)",AI,OPEN,"Female-only
(including
Supernumerary)",6711,9272
"Indian Institute of
Technology Patna","B. Tech in CE. - M. Tech.
in Geotechnical
Engineering (5 Years,
B.Tech. + M.Tech./MS
(Dual Degree))",AI,OPEN,Gender-Neutral,14906,15274
"Indian Institute of
Technology Patna","B. Tech in CE. - M. Tech.
in Geotechnical
Engineering (5 Years,
B.Tech. + M.Tech./MS
(Dual Degree))",AI,OPEN,"Female-only
(including
Supernumerary)",24612,24612
"Indian Institute of
Technology Patna","B. Tech in CE. - M. Tech.
in Structural
Engineering (5 Years,
B.Tech. + M.Tech./MS
(Dual Degree))",AI,OPEN,Gender-Neutral,13323,14055
"Indian Institute of
Technology Patna","B. Tech in CE. - M. Tech.
in Structural
Engineering (5 Years,
B.Tech. + M.Tech./MS
(Dual Degree))",AI,OPEN,"Female-only
(including
Supernumerary)",18498,18498
"Indian Institute of
Technology Patna","B. Tech. (CSE) and
M.Tech in CSE (5 Years,
B.Tech. + M.Tech./MS
(Dual Degree))",AI,OPEN,Gender-Neutral,3466,4429
"Indian Institute of
Technology Patna","B. Tech. (CSE) and
M.Tech in CSE (5 Years,
B.Tech. + M.Tech./MS
(Dual Degree))",AI,OPEN,"Female-only
(including
Supernumerary)",9776,9776
"Indian Institute of
Technology Patna","B. Tech. (ECE) -M. Tech.
in VLSI (5 Years, B.Tech.
+ M.Tech./MS (Dual
Degree))",AI,OPEN,Gender-Neutral,6068,6253
"Indian Institute of
Technology Patna","B. Tech. (ECE) -M. Tech.
in VLSI (5 Years, B.Tech.
+ M.Tech./MS (Dual
Degree))",AI,OPEN,"Female-only
(including
Supernumerary)",14138,14138
"Indian Institute of
Technology Patna","B. Tech. (EEE)-M. Tech. in
(Power &. Control) (5
Years, B.Tech. +
M.Tech./MS (Dual
Degree))",AI,OPEN,Gender-Neutral,7254,7605
"Indian Institute of
Technology Patna","B. Tech. (EEE)-M. Tech. in
(Power &. Control) (5
Years, B.Tech. +
M.Tech./MS (Dual
Degree))",AI,OPEN,"Female-only
(including
Supernumerary)",16498,16498
"Indian Institute of
Technology Patna","B.Tech (Chemical
Science and Technology)
- MBA in Hospital and
Health Care
Management (IIM Bodh
Gaya) (5 Years, Bachelor
of Technology and MBA
(Dual Degree))",AI,OPEN,"Female-only
(including
Supernumerary)",20511,20511
"Indian Institute of
Technology Patna","B.Tech (Civil
Engineering) - MBA (IIM
Bodh Gaya) (5 Years,
Bachelor of Technology
and MBA (Dual Degree))",AI,OPEN,Gender-Neutral,14220,15129
"Indian Institute of
Technology Patna","B.Tech (Computer
Science and
Engineering) - MBA in
Digital Business
Management (IIM Bodh
Gaya) (5 Years, Bachelor
of Technology and MBA
(Dual Degree))",AI,OPEN,Gender-Neutral,3427,3427
"Indian Institute of
Technology Patna","B.Tech (Computer
Science and
Engineering) - MBA in
Digital Business
Management (IIM Bodh
Gaya) (5 Years, Bachelor
of Technology and MBA
(Dual Degree))",AI,OPEN,"Female-only
(including
Supernumerary)",11166,11166
"Indian Institute of
Technology Patna","B.Tech (Electrical and
Electronics Engineering)
- MBA (IIM Bodh Gaya)
(5 Years, Bachelor of
Technology and MBA
(Dual Degree))",AI,OPEN,Gender-Neutral,5875,7575
"Indian Institute of
Technology Patna","B.Tech (Electrical and
Electronics Engineering)
- MBA (IIM Bodh Gaya)
(5 Years, Bachelor of
Technology and MBA
(Dual Degree))",AI,OPEN,"Female-only
(including
Supernumerary)",16808,16808
"Indian Institute of
Technology Patna","B.Tech (Metallurgical
and Materials
Engineering) - MBA (IIM
Bodh Gaya) (5 Years,
Bachelor of Technology
and MBA (Dual Degree))",AI,OPEN,"Female-only
(including
Supernumerary)",22211,22211
"Indian Institute of
Technology Patna","B.Tech. in Electronics
and Communication
Engineering and M.Tech.
in Communication
Systems (5 Years,
Bachelor and Master of
Technology (Dual
Degree))",AI,OPEN,Gender-Neutral,6287,6660
"Indian Institute of
Technology Patna","B.Tech. in Electronics
and Communication
Engineering and M.Tech.
in Communication
Systems (5 Years,
Bachelor and Master of
Technology (Dual
Degree))",AI,OPEN,"Female-only
(including
Supernumerary)",12637,12637
"Indian Institute of
Technology Patna","BS in Economics with
MBA (IIM Bodh Gaya) (5
Years, Bachelor of
Science and MBA (Dual
Degree))",AI,OPEN,Gender-Neutral,6885,9961
"Indian Institute of
Technology Patna","Chemical Engineering (4
Years, Bachelor of
Technology)",AI,OPEN,Gender-Neutral,10776,12519
"Indian Institute of
Technology Patna","Chemical Engineering (4
Years, Bachelor of
Technology)",AI,OPEN,"Female-only
(including
Supernumerary)",20166,21996
"Indian Institute of
Technology Patna","Chemical Science and
Technology (4 Years,
Bachelor of Technology)",AI,OPEN,Gender-Neutral,11793,14062
"Indian Institute of
Technology Patna","Chemical Science and
Technology (4 Years,
Bachelor of Technology)",AI,OPEN,"Female-only
(including
Supernumerary)",22292,22410
"Indian Institute of
Technology Patna","Mathematics and
Computing (4 Years,
Bachelor of Technology)",AI,OPEN,"Female-only
(including
Supernumerary)",9830,10651
"Indian Institute of
Technology Patna","Mechanical Engineering
(4 Years, Bachelor of
Technology)",AI,OPEN,Gender-Neutral,7745,10647
"Indian Institute of
Technology Patna","Mechanical Engineering
(4 Years, Bachelor of
Technology)",AI,OPEN,"Female-only
(including
Supernumerary)",15112,21121
"Indian Institute of
Technology Patna","Metallurgical and
Materials Engineering (4
Years, Bachelor of
Technology)",AI,OPEN,Gender-Neutral,11553,15323
"Indian Institute of
Technology Patna","Metallurgical and
Materials Engineering (4
Years, Bachelor of
Technology)",AI,OPEN,"Female-only
(including
Supernumerary)",23452,24442
"Indian Institute of
Technology Roorkee","Architecture (5 Years,
Bachelor of
Architecture)",AI,OPEN,Gender-Neutral,3105,19885
"Indian Institute of
Technology Roorkee","Architecture (5 Years,
Bachelor of
Architecture)",AI,OPEN,"Female-only
(including
Supernumerary)",17302,19354
"Indian Institute of
Technology Roorkee","Biosciences and
Bioengineering (4 Years,
Bachelor of Technology)",AI,OPEN,Gender-Neutral,5871,7286
"Indian Institute of
Technology Roorkee","Biosciences and
Bioengineering (4 Years,
Bachelor of Technology)",AI,OPEN,"Female-only
(including
Supernumerary)",13107,14009
"Indian Institute of
Technology Roorkee","Chemical Engineering (4
Years, Bachelor of
Technology)",AI,OPEN,Gender-Neutral,3531,4689
"Indian Institute of
Technology Roorkee","Chemical Engineering (4
Years, Bachelor of
Technology)",AI,OPEN,"Female-only
(including
Supernumerary)",6799,10941
"Indian Institute of
Technology Roorkee","Chemical Sciences (5
Years, Bachelor of
Science and Master of
Science (Dual Degree))",AI,OPEN,Gender-Neutral,8062,11647
